word,gold_segmentation,gold_root_heuristic,stemmer_output,exact_match
জন্মবার্ষিকী,জন্ম+বার্ষিক+ী,জন্ম,জন্মবার্ষিকী,False
জন্মগতভাবেই,জন্ম+গত+ভাব+ে+ই,জন্ম,জন্মগতভাব,False
জঙ্গী,জঙ্গী,জঙ্গী,জঙ্গী,True
জঙ্গিবাদ,জঙ্গি+বাদ,জঙ্গি,জঙ্গিবাদ,False
জরিপকেই,জরিপ+কে+ই,জরিপ,জরিপ,True
জয়টাই,জয়+টা+ই,জয়,জয়,True
জংলি,জংলি,জংলি,জং,False
জ্বালাব,জ্বাল+া+ব,জ্বাল,জ্বালাব,False
খঁাটি,খঁাটি,খঁাটি,খঁা,False
খাসা,খাস+া,খাস,খাসা,False
খাদ্যাভ্যাসে,"1 খাদ্য+াভ্যাস+ে, খাদ্য+অভ্যাস+ে",1 খাদ্য,খাদ্যাভ্যাস,False
খাদ্যবিপণিতে,খাদ্য+বিপণি+তে,খাদ্য,খাদ্যবিপণি,False
খাদ্যকে,খাদ্য+কে,খাদ্য,খাদ্য,True
খাদ্যশস্য,খাদ্য+শস্য,খাদ্য,খাদ্যশস্য,False
খাইতাম,খাই+ত+াম,খাই,খাইতাম,False
খাল,খাল,খাল,খাল,True
খেসারত,খেসারত,খেসারত,খেসারত,True
খেলাটাই,খেল+া+টা+ই,খেল,খেলা,False
খেয়ে,"1 খে+য়ে, খা+য়ে",1 খে,খায়,False
খসে,খস+ে,খস,খস,True
খুঁড়ে,খুঁড়+ে,খুঁড়,খুঁড়,True
খবর,খবর,খবর,খবর,True
খবরাদি,"1 খবর+াদি, খবর+আদি",1 খবর,খবরাদি,False
খননকালে,খনন+কাল+ে,খনন,খননকাল,False
ফাইলগুলো,ফাইল+গুলো,ফাইল,ফাইল,True
ফৌজদারি,ফৌজদারি,ফৌজদারি,ফৌজদারি,True
ফেরেন,"1 ফের+েন, ফের+ে+ন, ফির+েন, ফির+ে+ন",1 ফের,ফের,False
ফির,ফির,ফির,ফির,True
ফজলি,ফজলি,ফজলি,ফজ,False
ফুট,ফুট,ফুট,ফুট,True
ফলাফলটি,"1 ফলাফল+টি, ফল+ফল+টি",1 ফলাফল,ফলাফল,False
ফলনশক্তি,ফলন+শক্ত+ি,ফলন,ফলনশক্তি,False
ফ্যাসাদ,ফ্যাসাদ,ফ্যাসাদ,ফ্যাসাদ,True
সৈকত,সৈকত,সৈকত,সৈকত,True
সঁাওতালরা,সঁাওতাল+রা,সঁাওতাল,সঁাওতাল,True
সাঁতারের,সাঁতার+ের,সাঁতার,সাঁতার,True
সাজানো,সাজ+ান+ো,সাজ,সাজানো,False
সাহেবানদের,সাহেব+ান+দের,সাহেব,সাহে,False
সাক্ষাত্কারটা,"সাক্ষাত্+কার+টা, সাক্ষাত্কার+টা",সাক্ষাত্,সাক্ষাত্কার,False
সালফারে,সালফার+ে,সালফার,সালফা,False
সামষ্টিক,"1 সামষ্টি+ক, সমষ্টি+ক",1 সামষ্টি,সামষ্টিক,False
সামলালেও,"সামল+া+ল+ে+ও, সামল+া+লে+ও",সামল,সামলাল,False
সারাক্ষণই,সারা+ক্ষণ+ই,সারা,সারাক্ষণ,False
সার্জনের,সার্জন+ের,সার্জন,সার্জন,True
সাংবাদিকেরা,"1 সাংবাদ+িক+েরা, সংবাদ+িক+েরা",1 সাংবাদ,সাংবাদি,False
সৌভাগ্যই,সৌভাগ্য+ই,সৌভাগ্য,সৌভাগ্য,True
সোসাইটিসহ,সোসাইটি+সহ,সোসাইটি,সোসাইটিসহ,False
সোনাকাটার,সোনা+কাট+া+র,সোনা,সোনাকা,False
সেভাবেই,সে+ভাব+ে+ই,সে,সেভাবে,False
সেদিনের,সেদিন+ের,সেদিন,সেদিন,True
সিঁদুরের,সিঁদুর+ের,সিঁদুর,সিঁদুর,True
সিকিভাগ,সিকি+ভাগ,সিকি,সিকিভাগ,False
সিকিপেটা,সিকি+পেটা,সিকি,সিকিপে,False
সিল্কসিটি,সিল্ক+সিটি,সিল্ক,সিল্কসি,False
সিনেটে,সিনেট+ে,সিনেট,সিনেট,True
সিরিজকে,সিরিজ+কে,সিরিজ,সিরিজ,True
সিংহাসনের,সিংহাসন+ের,সিংহাসন,সিংহাসন,True
সৃষ্টিকর্তার,সৃষ্টি+কর্তা+র,সৃষ্টি,সৃষ্টিকর্তা,False
সসম্মানে,স+সম্মান+ে,স,সসম্,False
সুখ্যাতি,"সু+খ্যাত+ি, সু+খ্যাতি",সু,সুখ্যাতি,False
সুফল,সু+ফল,সু,সুফল,False
সুদূর,সু+দূর,সু,সুদূর,False
সুইপই,সুইপ+ই,সুইপ,সুইপই,False
সুন্দরবন,"সুন্দর+বন, সুন্দর+বন",সুন্দর,সুন্দরবন,False
সুন্নিরা,সুন্নি+রা,সুন্নি,সুন্নি,True
সুপারস্টারের,সুপার+স্টার+ের,সুপার,সুপারস্টার,False
সূচনা,সূচনা,সূচনা,সূচনা,True
সবসময়,সব+সময়,সব,সবসময়,False
সবরকম,সব+রকম,সব,সবরকম,False
সদিচ্ছাকে,"1 সদ+িচ্ছা+কে, সদ+ইচ্ছা+কে",1 সদ,সদিচ্ছা,False
সহজ,সহজ,সহজ,সহজ,True
সহমর্মিতাই,"1 সহ+মর্মি+তা+ই, সহ+মর্মী+তা+ই",1 সহ,সহমর্মিতা,False
সমাধানের,সমাধান+ের,সমাধান,সমাধান,True
সমাজ,সমাজ,সমাজ,সমাজ,True
সমাজবিজ্ঞানের,সমাজ+বি+জ্ঞান+ের,সমাজ,সমাজবিজ্ঞান,False
সমস্যাটি,সমস্যা+টি,সমস্যা,স্যা,False
সমকাল,সম+কাল,কাল,কাল,True
সমকামিতা,সম+কাম+ি+তা,কাম,কামিতা,False
সমরপুস্তক,সমর+পুস্তক,সমর,রপুস্তক,False
সমর্থকগোষ্ঠী,সমর্থক+গোষ্ঠী,সমর্থক,র্থকগোষ্ঠী,False
সমর্থকরা,সমর্থক+রা,সমর্থক,র্থক,False
সময়ের,সময়+ের,সময়,য়,False
সম্মেলনে,সম্মেলন+ে,সম্মেলন,সম্মেলনে,False
সম্প্রদায়বিরোধী,সম্প্রদায়+বি+রোধ+ী,সম্প্রদায়,সম্প্রদায়বিরোধী,False
সম্রাট,সম্রাট,সম্রাট,সম্রাট,True
সওদাগর,সওদাগর,সওদাগর,সওদাগর,True
সপ্তাহ,"1 সপ্তাহ, সপ্ত+অহ, সপ্তাহ, সপ্ত+াহ",1 সপ্তাহ,সপ্তাহ,False
সঙ্কট,সঙ্কট,সঙ্কট,সঙ্কট,True
সরাসরিই,সরাসরি+ই,সরাসরি,সরাসরি,True
সর্বত্রই,সর্বত্র+ই,সর্বত্র,সর্বত্র,True
সংঘাত,সংঘাত,সংঘাত,ঘাত,False
সংখ্যাধিক্যের,"1 সংখ্যা+ধিক্য+ের, সংখ্যা+আধিক্য+ের",1 সংখ্যা,খ্যাধিক্য,False
সংবাদপত্রে,সংবাদ+পত্র+ে,সংবাদ,বাদপত্র,False
সংবাদপত্রসেবীরা,সংবাদ+পত্র+সেবী+রা,সংবাদ,বাদপত্রসেবী,False
সংগঠনও,সংগঠন+ও,সংগঠন,গঠন,False
সংগ্রামরত,সংগ্রাম+রত,সংগ্রাম,গ্রামরত,False
সংগ্রহকারী,সংগ্রহ+কার+ী,সংগ্রহ,গ্রহকারী,False
সংক্রান্ত,সংক্রান্ত,সংক্রান্ত,ক্রা,False
স্তরেই,স্তর+ে+ই,স্তর,স্তর,True
স্বৈরতন্ত্রের,স্বৈর+তন্ত্র+ের,স্বৈর,স্বৈরতন্ত্র,False
স্বাভাবিকও,"1 স্বাভাবিক+ও, স্বভাব+িক+ও",1 স্বাভাবিক,স্বাভাবিক,False
স্বাধীনতাবিরোধীদের,"1 স্বাধীন+তা+বি+রোধ+ী+দের, স্ব+অধীন+তা+বি+রোধ+ী+দের",1 স্বাধীন,স্বাধীনতাবিরোধী,False
স্বজনের,স্ব+জন+ের,স্ব,স্বজন,False
স্বতঃস্ফূর্ত,স্বতঃ+স্ফূর্ত,স্বতঃ,স্বতঃস্ফূর্ত,False
স্বদেশেই,স্ব+দেশ+ে+ই,স্ব,স্বদেশ,False
স্বপ্নপূরণে,স্বপ্ন+পূরণ+ে,স্বপ্ন,স্বপ্নপূরণ,False
স্বয়ংসম্পূর্ণ,স্বয়ং+সম্পূর্ণ,স্বয়ং,স্বয়ংসম্পূর্ণ,False
স্থগিতসহ,স্থগিত+সহ,স্থগিত,স্থগিতসহ,False
স্নৃতি,স্নৃতি,স্নৃতি,স্নৃতি,True
স্নরণসভা,স্নরণ+সভা,স্নরণ,স্নরণসভা,False
স্পোর্ট,স্পোর্ট,স্পোর্ট,স্পোর্ট,True
তৈরি,তৈরি,তৈরি,তৈরি,True
তীরঘেঁষা,তীর+ঘেঁষা,তীর,তীরঘেঁষা,False
তাক,তাক,তাক,তাক,True
তাকানোর,তাকানো+র,তাকানো,তাকানোর,False
তালাবদ্ধ,তালা+বদ্ধ,তালা,তালাবদ্ধ,False
তামাকজনিত,তামাক+জনিত,তামাক,তামাকজনিত,False
তোমাদের,তোমা+দের,তোমা,তোমাদের,False
তোরণ,তোরণ,তোরণ,তোরণ,True
তোরণগুলো,তোরণ+গুলো,তোরণ,তোরণ,True
তেল,তেল,তেল,তেল,True
তেলাপোকার,"তেলাপোকা+র, তেলা+পোকা+র",তেলাপোকা,তেলাপোকা,True
তিনিই,তিনি+ই,তিনি,তিনি,True
তিনটিতে,তিন+টি+তে,তিন,তিন,True
তৃতীয়টি,তৃতীয়+টি,তৃতীয়,তৃতীয়,True
ততক্ষণই,"ততক্ষণ+ই, তত+ক্ষণ+ই",ততক্ষণ,ততক্ষণ,True
তুমুল,তুমুল,তুমুল,তুমুল,True
তলোয়ার,তলোয়ার,তলোয়ার,তলোয়া,False
তলোয়ারবিহীন,"তলোয়ার+বি+হীন, তলোয়ার+বিহীন",তলোয়ার,তলোয়ারবিহীন,False
তরকারি,তরকারি,তরকারি,তরকারি,True
ত্যাগ,ত্যাগ,ত্যাগ,ত্যাগ,True
ডায়রিয়া,ডায়রিয়া,ডায়রিয়া,ডায়রিয়া,True
ডেমোক্রেটিক,ডেমোক্রেট+িক,ডেমোক্রেট,ডেমোক্রেটিক,False
ডেরায়,ডেরা+য়,ডেরা,ডেরায়,False
ডিফেন্ডারের,ডিফেন্ড+ার+ের,ডিফেন্ড,ডিফেন্ডার,False
ডিসপেনসারির,ডিসপেনসারি+র,ডিসপেনসারি,ডিসপেনসারি,True
ডিলারের,ডিলার+ের,ডিলার,ডিলার,True
ডিপার্টমেন্টের,ডিপার্টমেন্ট+ের,ডিপার্টমেন্ট,ডিপার্টমেন্ট,True
ড্রাইভার,ড্রাইভ+ার,ড্রাইভ,ড্রাইভা,False
ড্রেসিংরুমকে,ড্রেস+িং+রুম+কে,ড্রেস,ড্রেসিংরুম,False
অঁাকাবঁাকা,অঁাক+া+বঁাক+া,অঁাক,অঁাকাবঁাকা,False
অভিভাবক,অভিভাবক,অভিভাবক,ভাবক,False
অভিযানও,"অভি+যান+ও, অভিযান+ও",যান,যান,True
অভিনেতা,"অভি+নেতা, অভি+নেতা",নেতা,নেতা,True
অধীর,অধীর,অধীর,অধীর,True
অধিনায়করা,অধি+নায়ক+রা,নায়ক,নায়ক,True
অফেরতযোগ্য,অ+ফেরত+যোগ্য,অ,অফেরতযোগ্য,False
অসত্য,অ+সত্য,অ,অসত্য,False
অসুন্দরের,অ+সুন্দর+ের,অ,অসুন্দর,False
অস্থিতিশীলতামুক্ত,"অ+স্থিত+ি+শীল+তা+মুক্ত, অ+স্থিতি+শীল+তা+মুক্ত",অ,অস্থিতিশীলতামুক্ত,False
অস্ট্রেলিয়াকে,অস্ট্রেলিয়া+কে,অস্ট্রেলিয়া,অস্ট্রেলিয়া,True
অতিথি,অতিথি,অতিথি,অতিথি,True
অতিলোভী,অতি+লোভ+ী,লোভ,লোভী,False
অথিতির,অথিতি+র,অথিতি,অথিতি,True
অগ্রহণযোগ্য,অ+গ্রহণ+যোগ্য,অ,অগ্রহণযোগ্য,False
অনিন্দ,অনিন্দ,অনিন্দ,অনিন্দ,True
অনিয়ম,অ+নিয়ম,অ,অনিয়ম,False
অনুষ্ঠানসূচির,অনুষ্ঠান+সূচি+র,অনুষ্ঠান,ষ্ঠানসূচি,False
অনুকূলে,"অনু+কূল+ে, অনুকূল+ে",কূল,কূল,True
অনুল্লেখ্য,অন+ুল্লেখ্য,অন,ল্লেখ্য,False
অনুমোদনের,"অনু+মোদন+ের, অনু+মোদন+ের",মোদন,মোদন,True
অনুরাগভাজন,অনু+রাগ+ভাজন,রাগ,রাগভাজন,False
অনুশাসনগুলোকে,অনু+শাসন+গুলো+কে,শাসন,শাসন,True
অনুশোচনায়,"অনু+শোচনা+য়, অনুশোচনা+য়",শোচনা,শোচনায়,False
অন্যায়,অ+ন্যায়,অ,অন্যায়,False
অন্যদিকে,অন্য+দিক+ে,অন্য,অন্যদি,False
অপাকিস্তানী,অ+পাকিস্তান+ী,অ,অপাকিস্তানী,False
অপারেশনের,অপারেশন+ের,অপারেশন,অপারেশন,True
অপেক্ষা,"অপেক্ষা, অ+পেক্ষা (ৌ)",অপেক্ষা,অপেক্ষা,True
অপসারণের,অপ+সারণ+ের,সারণ,সারণ,True
অপহরণের,অপ+হরণ+ের,হরণ,হরণ,True
অপরাধে,অপরাধ+ে,অপরাধ,রাধ,False
অপরিচিতদের,অ+পরিচিত+দের,অ,রিচিত,False
অর্ধেকেই,"1 অর্ধ+েক+ে+ই, অর্ধ+এক+ে+ই",1 অর্ধ,অর্ধ,False
অর্জনে,অর্জন+ে,অর্জন,অর্জন,True
অর্বাচীনতায়,অর্বাচীন+তা+য়,অর্বাচীন,অর্বাচীনতায়,False
অর্থনীতিবিদরা,অর্থ+নীতি+বিদ+রা,অর্থ,অর্থনীতিবিদ,False
অশ্লীলতা,অ+শ্লীল+তা,অ,অশ্লীলতা,False
অংশসহ,অংশ+সহ,অংশ,অংশসহ,False
অ্যাথলেটদের,অ্যাথলেট+দের,অ্যাথলেট,অ্যাথলেট,True
অ্যালকোহলসহ,অ্যালকোহল+সহ,অ্যালকোহল,অ্যালকোহলসহ,False
বৈঠক,বৈঠক,বৈঠক,বৈঠক,True
বীর,বীর,বীর,বীর,True
বাঁচানোর,বাঁচ+া+নো+র,বাঁচ,বাঁচানোর,False
বাছাইকালেও,বাছাই+কাল+ে+ও,বাছাই,বাছাইকাল,False
বাজাবেন,"বাজ+া+ব+েন, বাজ+া+ব+ে+ন",বাজ,বাজা,False
বাজেট,বাজেট,বাজেট,বাজেট,True
বাস,বাস,বাস,বাস,True
বাসটিকে,বাস+টি+কে,বাস,বাস,True
বাতাসে,বাতাস+ে,বাতাস,বাতাস,True
বাতি,বাতি,বাতি,বাতি,True
বাহিনী,"বাহিনী, বাহি+নী, বাহী+নী",বাহিনী,বাহিনী,True
বাহনগুলো,বাহন+গুলো,বাহন,বাহন,True
বাইসাইকেলেই,বাই+সাইকেল+ে+ই,বাই,বাইসাইকেলেই,False
বালিকা,বালিকা,বালিকা,বালিকা,True
বারান্দায়,বারান্দা+য়,বারান্দা,বারান্দায়,False
বাটও,বাট+ও,বাট,বাট,True
বাউফলের,বাউ+ফলের,বাউ,বাউফল,False
বাড়ালেন,"বাড়+া+ল+েন, বাড়+া+ল+ে+ন",বাড়,বাড়া,False
বাড়িঘর,বাড়ি+ঘর,বাড়ি,বাড়িঘর,False
বাড়লেই,"বাড়+ল+ে+ই, বাড়+লে+ই",বাড়,বাড়ল,False
বাংলা,বাংলা,বাংলা,বাংলা,True
বাংলাবাজারের,বাংলা+বাজার+ের,বাংলা,বাংলাবাজার,False
বছর,বছর,বছর,বছর,True
বছরটা,বছর+টা,বছর,বছর,True
বোল্ডটিই,বোল্ড+টি+ই,বোল্ড,বোল্ড,True
বোঝাপড়া,"বোঝ+া+পড়া, বোঝ+া+পড়+া",বোঝ,বোঝাপড়া,False
বেত,বেত,বেত,বেত,True
বেগতিক,বে+গতি+ক,বে,বেগতিক,False
বেল্ট,বেল্ট,বেল্ট,বেল্ট,True
বেপরোয়াভাবে,বে+পরোয়া+ভাব+ে,বে,বেপরোয়াভাবে,False
বেশিক্ষণ,"বেশি+ক্ষণ, বেশ+ি+ক্ষণ",বেশি,বেশিক্ষণ,False
বেশুমার,"বে+শুমার, বে+শুমার",বে,বেশুমা,False
বিভাগই,"বিভাগ+ই, বি+ভাগ+ই",বিভাগ,ভাগ,False
বিধ্বস্ত,বি+ধ্বস্ত,ধ্বস্ত,ধ্বস্ত,True
বিষ্নিত,বিষ্ন+িত,বিষ্ন,ষ্নিত,False
বিস্নৃতপ্রায়,বি+স্নৃত+প্রায়,স্নৃত,স্নৃতপ্রায়,False
বিতানকে,"বিতান+কে, বিতান+কে",বিতান,তান,False
বিবেচ্য,বিবেচ্য,বিবেচ্য,বেচ্য,False
বিবৃতিদাতারা,বিবৃতি+দাতা+রা,বিবৃতি,বৃতিদাতা,False
বিচি,বিচি,বিচি,চি,False
বিচ্যুতিগুলো,বি+চ্যুত+ি+গুলো,চ্যুত,চ্যুতি,False
বিদ্ধ,বিদ্ধ,বিদ্ধ,দ্ধ,False
বিদ্রোহ,বিদ্রোহ,বিদ্রোহ,দ্রোহ,False
বিকলাঙ্গতা,"1 বিকল+াঙ্গ+তা, বিকল+অঙ্গ+তা",1 বিকল,কলাঙ্গতা,False
বিক্রির,বিক্রি+র,বিক্রি,ক্রি,False
বিমানবন্দরে,বিমান+বন্দর+ে,বিমান,মানবন্দর,False
বিনাশের,বি+নাশ+ের,নাশ,নাশ,True
বিনোদনকেন্দ্রগুলোও,বিনোদন+কেন্দ্র+গুলো+ও,বিনোদন,নোদনকেন্দ্র,False
বিনিময়েও,বিনিময়+ে+ও,বিনিময়,নিময়,False
বিনিয়োগ,বি+নিয়োগ,নিয়োগ,নিয়োগ,True
বিনিয়োগকারী,বি+নিয়োগ+কার+ী,নিয়োগ,নিয়োগকারী,False
বিপজ্জনকভাবে,"1 বিপজ্+জনক+ভাব+ে, বিপদ+জনক+ভাব+ে",1 বিপজ্,পজ্জনকভাব,False
বিপণিবিতানের,বিপণি+বিতান+ের,বিপণি,পণিবিতান,False
বিশ্ববিদ্যালয়গুলোর,"1 বিশ্ব+বিদ্যা+লয়+গুলো+র, বিশ্ব+বিদ্যা+আলয়+গুলো+র",1 বিশ্ব,শ্ববিদ্যালয়,False
বণ্টনও,বণ্টন+ও,বণ্টন,বণ্টন,True
বৃদ্ধ,বৃদ্ধ,বৃদ্ধ,বৃদ্ধ,True
বৃহস্পতিবার,বৃহস্পতি+বার,বৃহস্পতি,বৃহস্পতিবা,False
বসবাসের,"বস+বাস+ের, বসবাস+ের",বস,বসবাস,False
বুন,বুন,বুন,বুন,True
বহিষ্কারও,বহিষ্কার+ও,বহিষ্কার,বহিষ্কা,False
বহুজাতিক,বহু+জাত+িক,বহু,বহুজাতিক,False
বহুদিন,বহু+দিন,বহু,বহুদিন,False
বহুমুখী,বহু+মুখ+ী,বহু,বহুমুখী,False
বলো,বলো,বলো,বলো,True
বলেছিল,"বল+েছ+িল, বল+েছ+ি+ল",বল,বল,True
বলেই,বল+ে+ই,বল,বল,True
বলিবে,"বল+িব+ে, বল+ি+ব+ে",বল,বলিব,False
বলবেই,"বল+ব+ে+ই, বল+বে+ই",বল,বলব,False
বন্দিদের,বন্দ+ি+দের,বন্দ,বন্দি,False
বঙ্গবন্ধু,বঙ্গ+বন্ধু,বঙ্গ,বঙ্গবন্ধু,False
বরাবর,বরাবর,বরাবর,বরাবর,True
বর্ষা,"বর্ষা, বর্ষ+া",বর্ষা,বর্ষা,True
বর্ষাকাল,"বর্ষা+কাল, বর্ষ+া+কাল",বর্ষা,বর্ষাকাল,False
বর্ষপূর্তিকে,বর্ষ+পূর্ত+ি+কে,বর্ষ,বর্ষপূর্তি,False
ব্যাগ্র,ব্যাগ্র,ব্যাগ্র,ব্যাগ্র,True
ব্যাকগ্রাউন্ডটা,ব্যাক+গ্রাউন্ড+টা,ব্যাক,ব্যাকগ্রাউন্ড,False
ব্যাটিং,ব্যাট+িং,ব্যাট,ব্যাটিং,False
ব্যুরো,ব্যুরো,ব্যুরো,ব্যুরো,True
ব্যবসায়ীরা,ব্যবসা+য়ী+রা,ব্যবসা,ব্যবসায়ী,False
ব্যবহারেরও,ব্যবহার+ের+ও,ব্যবহার,ব্যবহার,True
ব্রিটেনজুড়ে,ব্রিটেন+জুড়ে,ব্রিটেন,ব্রিটেনজুড়ে,False
চাদর,চাদর,চাদর,চাদর,True
চাইব,চাই+ব,চাই,চাইব,False
চাকরিজীবী,চাকরি+জীব+ী,চাকরি,চাকরিজীবী,False
চালুসহ,চালু+সহ,চালু,চালুসহ,False
চালুকৃত,চালু+কৃত,চালু,চালুকৃত,False
চাওয়ার,চাওয়া+র,চাওয়া,চাওয়া,True
