suffix_rule,sentence,target_word,gold_root_heuristic,stemmer_output,exact_match,status
হীন,দক্ষতা ছাড়া সততা শক্তিহীন।,শক্তিহীন,শক্তি,শক্তিহীন,False,ok
স্থ,গৃহস্থ বাড়ি থেকে বিষধর সাপ উদ্ধার।,গৃহস্থ,গৃহ,গৃহস্থ,False,ok
ধর,গৃহস্থ বাড়ি থেকে বিষধর সাপ উদ্ধার।,বিষধর,বিষ,ষধর,False,ok
হর,রোগহর তিতক্তাকে গ্রহণ করাই তার বৃত্তি।,রোগহর,রোগ,রোগহর,False,ok
াকে,রোগহর তিতক্তাকে গ্রহণ করাই তার বৃত্তি।,তিতক্তাকে,তিতক্ত,তিতক্তা,False,ok
সহ,নিহতের মাথায় আঘাতসহ শরীরে একাধিক ক্ষতচিহ্ন দেখা গেছে।,আঘাতসহ,আঘাত,আঘাতসহ,False,ok
সই,টেকসই উন্নয়নে তিনি জোর দেন তিনটি বিষয়ে।,টেকসই,টেক,টেকস,False,ok
শালী,করিম খুব শক্তিশালী।,শক্তিশালী,শক্তি,শক্তিশালী,False,ok
মান,রহিম খুব বুদ্ধিমান।,বুদ্ধিমান,বুদ্ধি,বুদ্ধি,True,ok
ময়,আল্লাহ করুণাময় ও দয়াময়।,,,,,ambiguous_or_no_match
মতী,মেয়েটি বুদ্ধিমতী।,বুদ্ধিমতী,বুদ্ধি,বুদ্ধিমতী,False,ok
ীভূত,আয়নিক যৌগ পানিতে দ্রবীভূত হয়।,দ্রবীভূত,দ্রব,দ্রবীভূত,False,ok
গুলোতে,মাংস খাওয়া কমিয়ে দেওয়াতে জোর দেওয়া হচ্ছে কিন্তু মাংসভুক দেশগুলোতে এ অবস্থা কেমন?,দেশগুলোতে,দেশ,দেশ,True,ok
বিহীন,বিয়ের পর সুনীলের মাত্রাবিহীন জীবনে যতি পড়ল।,মাত্রাবিহীন,মাত্রা,মাত্রাবিহীন,False,ok
টির,ওষুধটির বহুবিধ উপকার সম্পর্কে তিনি আমাদের অবহিত করলেন।,ওষুধটির,ওষুধ,ওষুধ,True,ok
লেন,ওষুধটির বহুবিধ উপকার সম্পর্কে তিনি আমাদের অবহিত করলেন।,করলেন,কর,কর,True,ok
বিদ,বেতারযন্ত্রবিদ এই পদে একজন নিয়োগ দেওয়া হবে।,বেতারযন্ত্রবিদ,বেতারযন্ত্র,বেতারযন্ত্রবিদ,False,ok
বিৎ,আট বছর বিদেশে বাস করে তিনি দেশে ফিরে এসেছেন যন্ত্রবিৎরূপে।,,,,,ambiguous_or_no_match
বান,তার বাবা ছিল ধনবান।,ধনবান,ধন,ধন,True,ok
বাজ,এবার যুদ্ধরাজ বোল্টনকে বরখাস্ত করলেন ট্রাম্প।,,,,,ambiguous_or_no_match
লেন,এবার যুদ্ধরাজ বোল্টনকে বরখাস্ত করলেন ট্রাম্প।,করলেন,কর,কর,True,ok
ধর,ইরান এখন পরমানুশক্তিধর।,পরমানুশক্তিধর,পরমানুশক্তি,পরমানুশক্তিধর,False,ok
বন্ত,তাকে দেখে প্রাণবন্ত মনে হয়েছিল।,প্রাণবন্ত,প্রাণ,প্রাণব,False,ok
বতী,কলাবতীকে বর্ষায় রূপবতী দেখায়।,রূপবতী,রূপ,রূপবতী,False,ok
প্রদ,কবরের প্রথম ধাপ ভীতপ্রদ।,ভীতপ্রদ,ভীত,ভীতপ্রদ,False,ok
ের,কবরের প্রথম ধাপ ভীতপ্রদ।,কবরের,কবর,কবর,True,ok
ো,এ বিচার তার মনপুত হলো না।,হলো,হল,হলো,False,ok
ালের,সেকালের নবাব একালের বংশধর।,,,,,ambiguous_or_no_match
ানের,পাকিস্তানের সঙ্গে কুটনৈতিক সম্পর্ক জোরদার হচ্ছে।,পাকিস্তানের,পাকিস্ত,পাকিস্তান,False,ok
তর,দীর্ঘ থেকে দীর্ঘতর হচ্ছে অবরোধ।,দীর্ঘতর,দীর্ঘ,দীর্ঘতর,False,ok
তম,বিশ্বের দীর্ঘতম নদী নীলনদ।,দীর্ঘতম,দীর্ঘ,দীর্ঘতম,False,ok
ুন,আপনার দায়িত্ব ও কর্তব্য পালন করুন।,করুন,কর,করুন,False,ok
তব্য,আপনার দায়িত্ব ও কর্তব্য পালন করুন।,কর্তব্য,কর্,কর্তব্য,False,ok
জ্ঞ,সে ছিল ধর্মজ্ঞ।,ধর্মজ্ঞ,ধর্ম,ধর্মজ্ঞ,False,ok
জাদা,বিশ্বের নামজাদা অর্থনৈতিক ম্যাগাজিন জার্নাল।,নামজাদা,নাম,নামজাদা,False,ok
জ,যে খনিজ ডেকে এনেছে ক্যান্সার।,খনিজ,খনি,খনিজ,False,ok
চর,একসময় বাংলাদেশে প্রচুর জলচর পাখি দেখা যেত।,জলচর,জল,জলচর,False,ok
াগত,শনিবার দিবাগত রাতে পবিত্র শবে কদর।,দিবাগত,দিব,দিবা,False,ok
খোর,সে একজন গাঁজাখোর।,গাঁজাখোর,গাঁজা,গাঁজাখোর,False,ok
ই,তার পরিবারে তার বাবাই একমাত্র কর্মক্ষম।,বাবাই,বাবা,বাবা,True,ok
কার,আজকালকার ছেলেমেয়েরা অনেক মেধাবী।,আজকালকার,আজকাল,আজকালকা,False,ok
কল্প,"জল জীবনকল্প, তাতেই এখন মন্থর মৃত্যুর ছলাৎছল হাতছানি।",জীবনকল্প,জীবন,জীবনকল্প,False,ok
কর,চিনি কোকেইন থেকেও ক্ষতিকর ও নেশাকর।,,,,,ambiguous_or_no_match
ওয়ালা,"করিম ছিল দুধওয়ালা, তার ভাই ছিল রুটিওয়ালা।",,,,,ambiguous_or_no_match
অলা,ফিরে এসেছে হাতলঅলা পলিব্যাগ।,হাতলঅলা,হাতল,হাতলঅলা,False,ok
ের,আমি হৃদয়ের কথা বলিতে ব্যাকুল।,হৃদয়ের,হৃদয়,হৃদয়,True,ok
িয়া,তাকে দেখিয়া সে চেয়ে থাকিল।,দেখিয়া,দেখ,দেখিয়া,False,ok
ে,সে কাজ করে।,,,,,ambiguous_or_no_match
ানো,গাড়ি ধোয়ানো কাজে কর্মচারী চাই।,ধোয়ানো,ধোয়,ধোয়ানো,False,ok
ায়,আমি তাকে পেয়েছি মিসকিন অবস্থায়।,অবস্থায়,অবস্থ,স্থায়,False,ok
চ্ছে,সে ভাত খাচ্ছে।,খাচ্ছে,খা,খায়,False,ok
তেছে,সে দেখিল দুইজন মানুষ আসিতেছে।,আসিতেছে,আসি,আসিত,False,ok
ত,"দেখিত, কে সঠিক বলতে পারে। শিক্ষক তাকে বুদ্ধিমান বলত।",,,,,ambiguous_or_no_match
ব,কোনোদিন দেখিব না তারে আমি।,দেখিব,দেখি,দেখিব,False,ok
ব,তার কথা শুনব ও মানব।,,,,,ambiguous_or_no_match
ো,কাজটি শেষ করেই আসো তাহলে।,আসো,আস,আসো,False,ok
ও,জয় করেও ভয় তবুও কেন যায় না?,,,,,ambiguous_or_no_match
েছেই,"তারা ব্যাট বলের অনুশীলন তো করেছেই, সেই সাথে ফিল্ডিংয়ের।",করেছেই,কর,কর,True,ok
িছলাম,আমি ক্রিকেট খেলছিলাম।,,,,,ambiguous_or_no_match
ইছি,আমি তো ঠিক করেইছি পরেরবার একটু বেশি ছুটি নিয়ে আসব।,করেইছি,করে,করেই,False,ok
ওছি,আর তা করার সর্বোচ্চ প্রচেষ্টা আমি করেওছি।,করেওছি,করে,করেও,False,ok
ইছিলাম,তোমাকে বলেইছিলাম তাকে খেপিও না।,বলেইছিলাম,বলে,বলেই,False,ok
টি,আমি কাজটি করি না।,কাজটি,কাজ,কাজ,True,ok
ওছি,দোকানে নানা রকম ফুল দেখেওছি।,দেখেওছি,দেখে,দেখেও,False,ok
কে,নিজেকে প্রশ্ন করাই ভাল থাকার মন্ত্র।,নিজেকে,নিজে,নিজ,False,ok
ও,আমারও দেশের মাটির গন্ধে ভরে আছে মন।,আমারও,আমার,আমা,False,ok
লে,ভালো করে পড়লে ভাল ফল পাবে।,পড়লে,পড়,পড়ল,False,ok
েব,সে কাজটি করবে।,,,,,ambiguous_or_no_match
ত,কেউ তার কথা শুনত না।,শুনত,শুন,শুনত,False,ok
উক,ভাবুক ছেলেটি আসলে কে ছিলেন?,,,,,ambiguous_or_no_match
এন,পুরোটা না পড়ে কমেন্টস করএন না।,করএন,কর,করএন,False,ok
লেন,আইপিসি সিআরপিসিতে ফের বদলের কথা বললেন অমিত শাহ।,বললেন,বল,বল,True,ok
বেন,কি করবেন পড়াশোনা শেষে?,করবেন,কর,কর,True,ok
উন,কাজটি করুন দয়া করে।,,,,,ambiguous_or_no_match
ছি,আমি এখন বই পড়ছি।,পড়ছি,পড়,পড়,True,ok
ছিস,কি করছিস? পড়াশোনা কর।,করছিস,কর,কর,True,ok
ছ,কি বলছ এসব?,বলছ,বল,বল,True,ok
ছি,তোমার কথা বুঝছি না।,বুঝছি,বুঝ,বুঝ,True,ok
েছন,তিনি বই পড়ছেন।,,,,,ambiguous_or_no_match
েছে,সে খেলা করছে।,,,,,ambiguous_or_no_match
েছি,আমি কাজটি করেছি।,করেছি,কর,করে,False,ok
েছিস,এ অঙ্কটি করেছিস?,করেছিস,কর,করে,False,ok
িটেত,মামলাটিতে কি প্রমাণের কথা বলছে সুপ্রিম কোর্ট?,,,,,ambiguous_or_no_match
েছেন,ক্যাডার পছন্দে প্রথমেই ভুল করছেন না তো?,,,,,ambiguous_or_no_match
লাম,বললাম তো এখন যাও পরে এসো।,বললাম,বল,বল,True,ok
লুম,বললুম তো পারব না।,বললুম,বল,বললুম,False,ok
লি,"কি করলি, আমার সব কাজ নষ্ট করে দিলি।",,,,,ambiguous_or_no_match
লে,কিভাবে করলে এটা?,করলে,কর,করল,False,ok
লেন,কিভাবে করলেন এত কঠিন কাজ?,করলেন,কর,কর,True,ok
েছে,"সে বলল, সে ভুল করেছে।",করেছে,কর,কর,True,ok
িছলাম,"কবিতা পড়ছিলাম, কিন্তু সে বিরক্ত করল।",,,,,ambiguous_or_no_match
িছলুম,এতক্ষণ অঙ্ক করছিলুম।,,,,,ambiguous_or_no_match
িছিলি,কি করছিলি? এত দেরি কেন?,,,,,ambiguous_or_no_match
েছিলে,"বলেছিলে আসবে, কিন্তু আস নাই।",বলেছিলে,বল,বল,True,ok
েছিলেন,তিনি কাজটি করেছিলেন।,করেছিলেন,কর,কর,True,ok
েছিল,আমেরিকা মহাদেশে ইউরোপীয়রা উপনিবেশ স্থাপন করেছিল।,করেছিল,কর,কর,True,ok
েছিলাম,মাহফুজ আর আমি এক সঙ্গে অভিনয় করেছিলাম।,করেছিলাম,কর,কর,True,ok
েছিলুম,আমি কবিতা রচনা করেছিলুম।,করেছিলুম,কর,করেছিলুম,False,ok
েছিলি,তুই ভুল করেছিলি।,করেছিলি,কর,কর,True,ok
েছিলে,তোমরা তখন বলেছিলে আপনি যা বলেছেন তাই করাই ভাল।,বলেছিলে,বল,বল,True,ok
েছেন,তোমরা তখন বলেছিলে আপনি যা বলেছেন তাই করাই ভাল।,বলেছেন,বল,বল,True,ok
েছিলেন,জবানবন্দিতে যা বলেছিলেন নুসরাত খুনের কারিগর সিরাজ।,বলেছিলেন,বল,বল,True,ok
েছিল,নমরুদ ষড়যন্ত্র করে নবীকে হত্যার উদ্দেশ্যে আগুনে নিক্ষেপ করেছিল।,করেছিল,কর,কর,True,ok
াব,আমি সেখানে যাব।,যাব,য,যাব,False,ok
িস,পড়াশোনা করিস না।,করিস,কর,কর,True,ok
েব,সে যাবে আমার সাথে।,,,,,ambiguous_or_no_match
েবন,তিনি কাজটি করবেন বলে করেন নাই।,,,,,ambiguous_or_no_match
েন,তিনি কাজটি করবেন বলে করেন নাই।,,,,,ambiguous_or_no_match
েব,সে কাজটি করবে।,,,,,ambiguous_or_no_match
তাম,প্রতি শুক্রবার আমরা ফুটবল খেলতাম।,খেলতাম,খেল,খেলতাম,False,ok
তুম,শিলাইদহে পদ্মাতীরে সাহিত্যচর্চা নিয়ে নিবৃতে বাস করতুম।,করতুম,কর,করতুম,False,ok
িছস,কি দেখছিস আমিই সে ছেলে যে তাকে মেরেছিল।,,,,,ambiguous_or_no_match
েছে,সে জামিন পেয়েছে কিন্তু শর্ত হলো মিডিয়ায় কথা বলতে পারবে না।,পেয়েছে,পেয়,পেয়,True,ok
তেন,তিনি আগে ফুটবল খেলতেন।,খেলতেন,খেল,খেলত,False,ok
ত,"দাদা বলত, পড়াশোনা করে যে, গাড়ি ঘোড়া চড়ে সে।",বলত,বল,বলত,False,ok
রা,ছাত্ররা খেলা দেখতে গেছে।,ছাত্ররা,ছাত্র,ছাত্র,True,ok
েরা,শিক্ষকেরা জ্ঞান দান করেন।,শিক্ষকেরা,শিক্ষক,শিক্ষক,True,ok
রা,পাখিরা আকাশে উড়ে দেখিয়া হিংসায় পিপীলিকারা বিধাতার কাছে পাখা চায়।,,,,,ambiguous_or_no_match
েরা,কাকেরা এক বিরাট সভা করল।,কাকেরা,কাক,কাক,True,ok
গুলো,অতগুলো কুমড়া দিয়ে কি হবে?,অতগুলো,অত,অত,True,ok
নি,মেয়েটি স্কুলে যায়নি।,যায়নি,যায়,যায়নি,False,ok
যূথ,হস্তিযূথ মাঠের ফসল নষ্ট করেছে।,হস্তিযূথ,হস্তি,হস্তিযূথ,False,ok
েদর,এটাই করিমদের বাড়ি।,,,,,ambiguous_or_no_match
তে,"একটি দেশ, সে দেখতে যেমনই হোক না কেন।",দেখতে,দেখ,দেখ,True,ok
টা,ন্যাকামিটা রাখ।,ন্যাকামিটা,ন্যাকামি,ন্যাকামি,True,ok
গোটা,গোটা দুই কমলালেবু আছে।,,,,,ambiguous_or_no_match
খানা,দুখানা কম্বল চেয়েছিলাম।,দুখানা,দু,দুখানা,False,ok
টাক,পোয়াটাক দুধ দাও।,পোয়াটাক,পোয়া,পোয়াটাক,False,ok
টুকু,সবটুকু ওষুধই খেয়ে ফেলো।,সবটুকু,সব,সবটুকু,False,ok
তা,দশতা কাগজ দাও।,দশতা,দশ,দশতা,False,ok
পাটি,আমার একপাটি জুতা ছিঁড়ে গেছে।,একপাটি,এক,একপা,False,ok
তলিন,পটলতলিন নষ্ট হয়ে গেছে।,পটলতলিন,পটল,পটলতলিন,False,ok
শীল,পৃথিবী পরিবর্তনশীল।,পরিবর্তনশীল,পরিবর্তন,বর্তন,False,ok
শীলতা,তার পরিবর্তনশীলতা আমাকে মুগ্ধ করেছিল।,পরিবর্তনশীলতা,পরিবর্তন,বর্তনশীলতা,False,ok
টা,লোকটা রাস্তার ধারে বসে আছে।,লোকটা,লোক,লোক,True,ok
টাই,সেই লোকটাই কাজ করছিল।,লোকটাই,লোক,লোক,True,ok
টাও,তার সাথে কালো লোকটাও ছিল।,লোকটাও,লোক,লোক,True,ok
টাকে,লোকটাকে ডাক।,লোকটাকে,লোক,লোক,True,ok
টাকেই,লম্বা লোকটাকেই এই কাজে দরকার।,লোকটাকেই,লোক,লোকটাক,False,ok
টাকেও,খাটো লোকটাকেও লাগবে।,লোকটাকেও,লোক,লোকটাক,False,ok
টি,বিশ্বের পনেরটি দূষিত শহরের মধ্যে বারোটাই ভারতে।,পনেরটি,পনের,পনের,True,ok
টিও,তৃতীয় দিনটিও নিজেদের করে নিল বাংলাদেশ।,দিনটিও,দিন,দিন,True,ok
টিতে,প্রতি একশটি মুরগিতে বিশটিতে রোগ রয়েছে।,বিশটিতে,বিশ,শ,False,ok
ের,১৬ই ডিসেম্বর বাংলাদেশের বিজয় দিবস।,বাংলাদেশের,বাংলাদেশ,বাংলাদেশ,True,ok
টিতে,এই দিনটিতে সরকারী ছুটি থাকে।,দিনটিতে,দিন,দিন,True,ok
টিতেই,এই দিনটিতেই আমাদের পরিপূর্ণ বিজয় এসেছে।,দিনটিতেই,দিন,দিনটিত,False,ok
টিতেও,ঈদের দিনটিতেও গাজায় ইসরাইলের হামলা।,দিনটিতেও,দিন,দিনটিত,False,ok
টে,"চারটে বই, তিনটে লোক।",,,,,ambiguous_or_no_match
টো,বই দুটো পড়ে অনেক ভালো লেগেছিল।,দুটো,দু,দুটো,False,ok
টুকু,নিজের ভালটুকু দিয়ে কাজ করো।,ভালটুকু,ভাল,ভালটুকু,False,ok
খানা,বইখানা দাও।,বইখানা,বই,বইখানা,False,ok
খানি,তার মুখখানি দেখে তাকে বিষণ্ণ মনে হয়েছিল।,মুখখানি,মুখ,মুখখানি,False,ok
খানেক,বছরখানেক পার হয়ে গেল তার দেখা নেই।,বছরখানেক,বছর,বছরখানেক,False,ok
ই,সময়ই টাকা।,সময়ই,সময়,য়,False,ok
ইছলেন,"আপনি তো বলেইছিলেন, কুরআন তিলাওয়াত আপনার প্রিয়?",,,,,ambiguous_or_no_match
ইছিলাম,আমি ঠিক করেইছিলাম এখন যে রকম ছোটদের গল্প লেখা হয় সেইরকম লিখব না।,করেইছিলাম,করে,করেই,False,ok
গুলো,যন্ত্রপাতিগুলো পরিষ্কার করে রাখ।,যন্ত্রপাতিগুলো,যন্ত্রপাতি,যন্ত্রপাতি,True,ok
সমূহ,"ইউনিয়নসমূহ ধানদিয়া, ইসলামকোট, খালিশালী, মাগুরা, তেতুলিয়া।",ইউনিয়নসমূহ,ইউনিয়ন,ইউনিয়নসমূহ,False,ok
সমস্ত,আদিম জাতিদের পক্ষে খাদ্যসমস্ত সভ্যতর জাতিদের অপেক্ষা অধিকতর কঠোর ও দুরূহ।,খাদ্যসমস্ত,খাদ্য,খাদ্যসমস্ত,False,ok
কুল,পক্ষীকুল তার ফসলে আক্রমণ করেছিল।,পক্ষীকুল,পক্ষী,পক্ষীকুল,False,ok
গণ,ছাত্রগণ তাদের দাবি অধ্যাপকের কাছে পেশ করলো।,ছাত্রগণ,ছাত্র,ছাত্রগণ,False,ok
জন,ভক্তজন ও মিডিয়া কিভাবে পাপাত্মাকে মহাত্মায় পরিণত করে।,ভক্তজন,ভক্ত,ভক্তজন,False,ok
দল,সমাজের উন্নয়নে যুবকদল গুরুত্বপূর্ণ ভূমিকা রাখে।,যুবকদল,যুবক,যুবকদল,False,ok
দের,কুয়েটে ছেলেদের ফলাফল ভালো।,ছেলেদের,ছেলে,ছেলে,True,ok
পাল,রাখাল গরুরপাল লয়ে যায় মাঠে।,গরুরপাল,গরুর,গরুরপাল,False,ok
বর্গ,মৃত্যুর সময় তার সন্তানবর্গ উপস্থিত ছিল।,সন্তানবর্গ,সন্তান,সন্তানবর্গ,False,ok
বৃন্দ,বালকবৃন্দ উপস্থিত ছিল অনুষ্ঠানে।,বালকবৃন্দ,বালক,বালকবৃন্দ,False,ok
বাহিনী,তৈমুরের সৈন্যবাহিনী ছিল সুসজ্জিত।,সৈন্যবাহিনী,সৈন্য,সৈন্যবাহিনী,False,ok
মহল,আমার বন্ধুমহল বরগুনায় শীতবস্ত্র বিতরণ করেছিল।,বন্ধুমহল,বন্ধু,বন্ধুমহল,False,ok
সংঘ,বালকসংঘ ভাল একটি অনুষ্ঠানের আয়োজন করেছিল।,বালকসংঘ,বালক,বালকসংঘ,False,ok
শ্রেণী,শ্রমিকশ্রেণী হরতাল ডাকল।,শ্রমিকশ্রেণী,শ্রমিক,শ্রমিকশ্রেণী,False,ok
মণ্ডলী,প্রবাস থেকে যুক্ত আছেন দর্শকমণ্ডলী ও প্রতিনিধিবৃন্দ।,দর্শকমণ্ডলী,দর্শক,দর্শকমণ্ডলী,False,ok
সকল,ভাইসকল আপনারা শান্ত হোন।,ভাইসকল,ভাই,ভাইসকল,False,ok
সাধারণ,যাত্রীসাধারণ মালামাল সযত্নে রাখুন।,যাত্রীসাধারণ,যাত্রী,যাত্রীসাধারণ,False,ok
আদি,পুস্তিকাদি ধুলাবালিতে পরিপূর্ণ।,,,,,ambiguous_or_no_match
আলি,নজরুলের গ্রন্থাবলি ভালো।,,,,,ambiguous_or_no_match
গাছা,লাঠিগাছা নিয়ে এসো।,লাঠিগাছা,লাঠি,লাঠিগাছা,False,ok
গুচ্ছ,পত্রগুচ্ছ চিঠিপত্রের জবাব দানের অনুষ্ঠান।,পত্রগুচ্ছ,পত্র,পত্রগুচ্,False,ok
জাল,তবুও কেন এ মায়াজাল আমাকে তাড়িয়ে বেড়ায়।,মায়াজাল,মায়া,মায়াজাল,False,ok
দাম,যে নদী হারায় স্রোত চলিতে না পারে সহস্র শৈবালদাম বেঁধে আসি তারে।,শৈবালদাম,শৈবাল,শৈবালদাম,False,ok
পুঞ্জ,মেঘপুঞ্জ মেরুর দিকে সরে যাচ্ছে ক্রমবর্ধমান তাপমাত্রার প্রভাবে।,মেঘপুঞ্জ,মেঘ,মেঘপুঞ্জ,False,ok
মালা,মেঘমালা আকাশে উড়ে যায়।,মেঘমালা,মেঘ,মেঘমালা,False,ok
রাজি,বৃক্ষরাজি নিধনে আমাদের অক্সিজেন ব্যবস্থা হুমকিতে।,বৃক্ষরাজি,বৃক্ষ,বৃক্ষরাজি,False,ok
রাশি,বর্ষাকালে যেদিকে চোখ যায় শুধুই জলরাশি।,জলরাশি,জল,জলরাশি,False,ok
ান,বাংলাদেশ থেকে আগত হাজ্বী হেবান ১২৭১৫৭।,হেবান,হেব,হেবান,False,ok
