গুলোতে	মাংস খাওয়া কমিয়ে দেওয়াতে জোর দেওয়া হচ্ছে কিন্তু মাংসভুক দেশগুলোতে এ অবস্থা কেমন?
বিহীন	বিয়ের পর সুনীলের মাত্রাবিহীন জীবনে যতি পড়ল।
টির	ওষুধটির বহুবিধ উপকার সম্পর্কে তিনি আমাদের অবহিত করলেন।
লেন	ওষুধটির বহুবিধ উপকার সম্পর্কে তিনি আমাদের অবহিত করলেন।
বিদ	বেতারযন্ত্রবিদ এই পদে একজন নিয়োগ দেওয়া হবে।
বিৎ	আট বছর বিদেশে বাস করে তিনি দেশে ফিরে এসেছেন যন্ত্রবিৎরূপে।
বান	তার বাবা ছিল ধনবান।
বাজ	এবার যুদ্ধরাজ বোল্টনকে বরখাস্ত করলেন ট্রাম্প।
লেন	এবার যুদ্ধরাজ বোল্টনকে বরখাস্ত করলেন ট্রাম্প।
ধর	ইরান এখন পরমানুশক্তিধর।
বন্ত	তাকে দেখে প্রাণবন্ত মনে হয়েছিল।
বতী	কলাবতীকে বর্ষায় রূপবতী দেখায়।
প্রদ	কবরের প্রথম ধাপ ভীতপ্রদ।
ের	কবরের প্রথম ধাপ ভীতপ্রদ।
ো	এ বিচার তার মনপুত হলো না।
ালের	সেকালের নবাব একালের বংশধর।
ানের	পাকিস্তানের সঙ্গে কুটনৈতিক সম্পর্ক জোরদার হচ্ছে।
তর	দীর্ঘ থেকে দীর্ঘতর হচ্ছে অবরোধ।
তম	বিশ্বের দীর্ঘতম নদী নীলনদ।
ুন	আপনার দায়িত্ব ও কর্তব্য পালন করুন।
তব্য	আপনার দায়িত্ব ও কর্তব্য পালন করুন।
জ্ঞ	সে ছিল ধর্মজ্ঞ।
জাদা	বিশ্বের নামজাদা অর্থনৈতিক ম্যাগাজিন জার্নাল।
জ	যে খনিজ ডেকে এনেছে ক্যান্সার।
চর	একসময় বাংলাদেশে প্রচুর জলচর পাখি দেখা যেত।
াগত	শনিবার দিবাগত রাতে পবিত্র শবে কদর।
খোর	সে একজন গাঁজাখোর।
ই	তার পরিবারে তার বাবাই একমাত্র কর্মক্ষম।
কার	আজকালকার ছেলেমেয়েরা অনেক মেধাবী।
কল্প	জল জীবনকল্প, তাতেই এখন মন্থর মৃত্যুর ছলাৎছল হাতছানি।
কর	চিনি কোকেইন থেকেও ক্ষতিকর ও নেশাকর।
ওয়ালা	করিম ছিল দুধওয়ালা, তার ভাই ছিল রুটিওয়ালা।
অলা	ফিরে এসেছে হাতলঅলা পলিব্যাগ।
ের	আমি হৃদয়ের কথা বলিতে ব্যাকুল।
িয়া	তাকে দেখিয়া সে চেয়ে থাকিল।
ে	সে কাজ করে।
ানো	গাড়ি ধোয়ানো কাজে কর্মচারী চাই।
ায়	আমি তাকে পেয়েছি মিসকিন অবস্থায়।
চ্ছে	সে ভাত খাচ্ছে।
তেছে	সে দেখিল দুইজন মানুষ আসিতেছে।
ত	দেখিত, কে সঠিক বলতে পারে। শিক্ষক তাকে বুদ্ধিমান বলত।
ব	কোনোদিন দেখিব না তারে আমি।
ব	তার কথা শুনব ও মানব।
ো	কাজটি শেষ করেই আসো তাহলে।
ও	জয় করেও ভয় তবুও কেন যায় না?
েছেই	তারা ব্যাট বলের অনুশীলন তো করেছেই, সেই সাথে ফিল্ডিংয়ের।
িছলাম	আমি ক্রিকেট খেলছিলাম।
ইছি	আমি তো ঠিক করেইছি পরেরবার একটু বেশি ছুটি নিয়ে আসব।
ওছি	আর তা করার সর্বোচ্চ প্রচেষ্টা আমি করেওছি।
ইছিলাম	তোমাকে বলেইছিলাম তাকে খেপিও না।
টি	আমি কাজটি করি না।
ওছি	দোকানে নানা রকম ফুল দেখেওছি।
কে	নিজেকে প্রশ্ন করাই ভাল থাকার মন্ত্র।
ও	আমারও দেশের মাটির গন্ধে ভরে আছে মন।
লে	ভালো করে পড়লে ভাল ফল পাবে।
েব	সে কাজটি করবে।
ত	কেউ তার কথা শুনত না।
উক	ভাবুক ছেলেটি আসলে কে ছিলেন?
এন	পুরোটা না পড়ে কমেন্টস করএন না।
লেন	আইপিসি সিআরপিসিতে ফের বদলের কথা বললেন অমিত শাহ।
বেন	কি করবেন পড়াশোনা শেষে?
উন	কাজটি করুন দয়া করে।
ছি	আমি এখন বই পড়ছি।
ছিস	কি করছিস? পড়াশোনা কর।
ছ	কি বলছ এসব?
ছি	তোমার কথা বুঝছি না।
েছন	তিনি বই পড়ছেন।
েছে	সে খেলা করছে।
েছি	আমি কাজটি করেছি।
েছিস	এ অঙ্কটি করেছিস?
িটেত	মামলাটিতে কি প্রমাণের কথা বলছে সুপ্রিম কোর্ট?
েছেন	ক্যাডার পছন্দে প্রথমেই ভুল করছেন না তো?
লাম	বললাম তো এখন যাও পরে এসো।
লুম	বললুম তো পারব না।
লি	কি করলি, আমার সব কাজ নষ্ট করে দিলি।
লে	কিভাবে করলে এটা?
লেন	কিভাবে করলেন এত কঠিন কাজ?
েছে	সে বলল, সে ভুল করেছে।
িছলাম	কবিতা পড়ছিলাম, কিন্তু সে বিরক্ত করল।
িছলুম	এতক্ষণ অঙ্ক করছিলুম।
িছিলি	কি করছিলি? এত দেরি কেন?
েছিলে	বলেছিলে আসবে, কিন্তু আস নাই।
েছিলেন	তিনি কাজটি করেছিলেন।
েছিল	আমেরিকা মহাদেশে ইউরোপীয়রা উপনিবেশ স্থাপন করেছিল।
েছিলাম	মাহফুজ আর আমি এক সঙ্গে অভিনয় করেছিলাম।
েছিলুম	আমি কবিতা রচনা করেছিলুম।
েছিলি	তুই ভুল করেছিলি।
েছিলে	তোমরা তখন বলেছিলে আপনি যা বলেছেন তাই করাই ভাল।
েছেন	তোমরা তখন বলেছিলে আপনি যা বলেছেন তাই করাই ভাল।
েছিলেন	জবানবন্দিতে যা বলেছিলেন নুসরাত খুনের কারিগর সিরাজ।
েছিল	নমরুদ ষড়যন্ত্র করে নবীকে হত্যার উদ্দেশ্যে আগুনে নিক্ষেপ করেছিল।
াব	আমি সেখানে যাব।
িস	পড়াশোনা করিস না।
েব	সে যাবে আমার সাথে।
েবন	তিনি কাজটি করবেন বলে করেন নাই।
েন	তিনি কাজটি করবেন বলে করেন নাই।
েব	সে কাজটি করবে।
তাম	প্রতি শুক্রবার আমরা ফুটবল খেলতাম।
তুম	শিলাইদহে পদ্মাতীরে সাহিত্যচর্চা নিয়ে নিবৃতে বাস করতুম।
িছস	কি দেখছিস আমিই সে ছেলে যে তাকে মেরেছিল।
েছে	সে জামিন পেয়েছে কিন্তু শর্ত হলো মিডিয়ায় কথা বলতে পারবে না।
তেন	তিনি আগে ফুটবল খেলতেন।
ত	দাদা বলত, পড়াশোনা করে যে, গাড়ি ঘোড়া চড়ে সে।
রা	ছাত্ররা খেলা দেখতে গেছে।
েরা	শিক্ষকেরা জ্ঞান দান করেন।
রা	পাখিরা আকাশে উড়ে দেখিয়া হিংসায় পিপীলিকারা বিধাতার কাছে পাখা চায়।
েরা	কাকেরা এক বিরাট সভা করল।
গুলো	অতগুলো কুমড়া দিয়ে কি হবে?
নি	মেয়েটি স্কুলে যায়নি।
যূথ	হস্তিযূথ মাঠের ফসল নষ্ট করেছে।
েদর	এটাই করিমদের বাড়ি।
তে	একটি দেশ, সে দেখতে যেমনই হোক না কেন।
টা	ন্যাকামিটা রাখ।
গোটা	গোটা দুই কমলালেবু আছে।
খানা	দুখানা কম্বল চেয়েছিলাম।
টাক	পোয়াটাক দুধ দাও।
টুকু	সবটুকু ওষুধই খেয়ে ফেলো।
তা	দশতা কাগজ দাও।
পাটি	আমার একপাটি জুতা ছিঁড়ে গেছে।
তলিন	পটলতলিন নষ্ট হয়ে গেছে।
শীল	পৃথিবী পরিবর্তনশীল।
শীলতা	তার পরিবর্তনশীলতা আমাকে মুগ্ধ করেছিল।
টা	লোকটা রাস্তার ধারে বসে আছে।
টাই	সেই লোকটাই কাজ করছিল।
টাও	তার সাথে কালো লোকটাও ছিল।
টাকে	লোকটাকে ডাক।
টাকেই	লম্বা লোকটাকেই এই কাজে দরকার।
টাকেও	খাটো লোকটাকেও লাগবে।
টি	বিশ্বের পনেরটি দূষিত শহরের মধ্যে বারোটাই ভারতে।
টিও	তৃতীয় দিনটিও নিজেদের করে নিল বাংলাদেশ।
টিতে	প্রতি একশটি মুরগিতে বিশটিতে রোগ রয়েছে।
ের	১৬ই ডিসেম্বর বাংলাদেশের বিজয় দিবস।
টিতে	এই দিনটিতে সরকারী ছুটি থাকে।
টিতেই	এই দিনটিতেই আমাদের পরিপূর্ণ বিজয় এসেছে।
টিতেও	ঈদের দিনটিতেও গাজায় ইসরাইলের হামলা।
টে	চারটে বই, তিনটে লোক।
টো	বই দুটো পড়ে অনেক ভালো লেগেছিল।
টুকু	নিজের ভালটুকু দিয়ে কাজ করো।
খানা	বইখানা দাও।
খানি	তার মুখখানি দেখে তাকে বিষণ্ণ মনে হয়েছিল।
খানেক	বছরখানেক পার হয়ে গেল তার দেখা নেই।
ই	সময়ই টাকা।
ইছলেন	আপনি তো বলেইছিলেন, কুরআন তিলাওয়াত আপনার প্রিয়?
ইছিলাম	আমি ঠিক করেইছিলাম এখন যে রকম ছোটদের গল্প লেখা হয় সেইরকম লিখব না।
গুলো	যন্ত্রপাতিগুলো পরিষ্কার করে রাখ।
সমূহ	ইউনিয়নসমূহ ধানদিয়া, ইসলামকোট, খালিশালী, মাগুরা, তেতুলিয়া।
সমস্ত	আদিম জাতিদের পক্ষে খাদ্যসমস্ত সভ্যতর জাতিদের অপেক্ষা অধিকতর কঠোর ও দুরূহ।
কুল	পক্ষীকুল তার ফসলে আক্রমণ করেছিল।
গণ	ছাত্রগণ তাদের দাবি অধ্যাপকের কাছে পেশ করলো।
জন	ভক্তজন ও মিডিয়া কিভাবে পাপাত্মাকে মহাত্মায় পরিণত করে।
দল	সমাজের উন্নয়নে যুবকদল গুরুত্বপূর্ণ ভূমিকা রাখে।
দের	কুয়েটে ছেলেদের ফলাফল ভালো।
পাল	রাখাল গরুরপাল লয়ে যায় মাঠে।
বর্গ	মৃত্যুর সময় তার সন্তানবর্গ উপস্থিত ছিল।
বৃন্দ	বালকবৃন্দ উপস্থিত ছিল অনুষ্ঠানে।
বাহিনী	তৈমুরের সৈন্যবাহিনী ছিল সুসজ্জিত।
মহল	আমার বন্ধুমহল বরগুনায় শীতবস্ত্র বিতরণ করেছিল।
সংঘ	বালকসংঘ ভাল একটি অনুষ্ঠানের আয়োজন করেছিল।
শ্রেণী	শ্রমিকশ্রেণী হরতাল ডাকল।
মণ্ডলী	প্রবাস থেকে যুক্ত আছেন দর্শকমণ্ডলী ও প্রতিনিধিবৃন্দ।
সকল	ভাইসকল আপনারা শান্ত হোন।
সাধারণ	যাত্রীসাধারণ মালামাল সযত্নে রাখুন।
আদি	পুস্তিকাদি ধুলাবালিতে পরিপূর্ণ।
আলি	নজরুলের গ্রন্থাবলি ভালো।
গাছা	লাঠিগাছা নিয়ে এসো।
গুচ্ছ	পত্রগুচ্ছ চিঠিপত্রের জবাব দানের অনুষ্ঠান।
জাল	তবুও কেন এ মায়াজাল আমাকে তাড়িয়ে বেড়ায়।
দাম	যে নদী হারায় স্রোত চলিতে না পারে সহস্র শৈবালদাম বেঁধে আসি তারে।
পুঞ্জ	মেঘপুঞ্জ মেরুর দিকে সরে যাচ্ছে ক্রমবর্ধমান তাপমাত্রার প্রভাবে।
মালা	মেঘমালা আকাশে উড়ে যায়।
রাজি	বৃক্ষরাজি নিধনে আমাদের অক্সিজেন ব্যবস্থা হুমকিতে।
রাশি	বর্ষাকালে যেদিকে চোখ যায় শুধুই জলরাশি।
ান	বাংলাদেশ থেকে আগত হাজ্বী হেবান ১২৭১৫৭।
